id_,gender,title,url,category,price,description,description_long,n_reviews,score,size,comfort,durability,r_title,r_raiting,r_body,r_date
505,woman,Nike Zoom HyperAce 2,https://www.nike.com/t/zoom-hyperace-2-womens-volleyball-shoe-KlrjdK/AA0286-104,Women's Volleyball Shoe,115,"Designed for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  ","COMMAND THE HARD COURTDesigned for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  BenefitsTextile and synthetic construction for breathable comfortHeel cage enhances support and stabilityFoam midsole with Nike Zoom Air cushioning for lightweight responsivenessDurable rubber tread delivers excellent tractionShown: White/Game RoyalStyle: AA0286-104",164.0,4.6,30.0,82.0,54.0,Daughter loves these!,5.0,"I bought these for my high school daughter who is an avid volleyball player, and she loves them. They fit true to size, are comfortable out of the box, and function great on the court.",2021-02-10 00:00:00
505,woman,Nike Zoom HyperAce 2,https://www.nike.com/t/zoom-hyperace-2-womens-volleyball-shoe-KlrjdK/AA0286-104,Women's Volleyball Shoe,115,"Designed for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  ","COMMAND THE HARD COURTDesigned for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  BenefitsTextile and synthetic construction for breathable comfortHeel cage enhances support and stabilityFoam midsole with Nike Zoom Air cushioning for lightweight responsivenessDurable rubber tread delivers excellent tractionShown: White/Game RoyalStyle: AA0286-104",164.0,4.6,30.0,82.0,54.0,Volleyball shoes,5.0,These have been the best volleyball shoes.. We have purchased our 2nd pair and highly recommend.,2021-02-05 00:00:00
505,woman,Nike Zoom HyperAce 2,https://www.nike.com/t/zoom-hyperace-2-womens-volleyball-shoe-KlrjdK/AA0286-104,Women's Volleyball Shoe,115,"Designed for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  ","COMMAND THE HARD COURTDesigned for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  BenefitsTextile and synthetic construction for breathable comfortHeel cage enhances support and stabilityFoam midsole with Nike Zoom Air cushioning for lightweight responsivenessDurable rubber tread delivers excellent tractionShown: White/Game RoyalStyle: AA0286-104",164.0,4.6,30.0,82.0,54.0,Volleyball shoe of choice,5.0,Excellent volleyball shoe. Very comfortable and satisfied.,2021-01-26 00:00:00
505,woman,Nike Zoom HyperAce 2,https://www.nike.com/t/zoom-hyperace-2-womens-volleyball-shoe-KlrjdK/AA0286-104,Women's Volleyball Shoe,115,"Designed for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  ","COMMAND THE HARD COURTDesigned for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  BenefitsTextile and synthetic construction for breathable comfortHeel cage enhances support and stabilityFoam midsole with Nike Zoom Air cushioning for lightweight responsivenessDurable rubber tread delivers excellent tractionShown: White/Game RoyalStyle: AA0286-104",164.0,4.6,30.0,82.0,54.0,Great volleyball shoes!,5.0,"Very comfortable, doesn’t slid on the court. This is the second pair. Holds up very well!! Will definitely buy again, and recommend to all volleyball players.",2021-01-24 00:00:00
505,woman,Nike Zoom HyperAce 2,https://www.nike.com/t/zoom-hyperace-2-womens-volleyball-shoe-KlrjdK/AA0286-104,Women's Volleyball Shoe,115,"Designed for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  ","COMMAND THE HARD COURTDesigned for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  BenefitsTextile and synthetic construction for breathable comfortHeel cage enhances support and stabilityFoam midsole with Nike Zoom Air cushioning for lightweight responsivenessDurable rubber tread delivers excellent tractionShown: White/Game RoyalStyle: AA0286-104",164.0,4.6,30.0,82.0,54.0,Our second pair. That’s how much my daughter loves them!,5.0,"Bought these for my daughter who played on the JV team this school year. She wore a them all summer long for conditioning, which was daily and then again everyday once she made the team for practice and for her games. They held up very well. Since, we have bought an a Read More",2021-01-20 00:00:00
505,woman,Nike Zoom HyperAce 2,https://www.nike.com/t/zoom-hyperace-2-womens-volleyball-shoe-KlrjdK/AA0286-104,Women's Volleyball Shoe,115,"Designed for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  ","COMMAND THE HARD COURTDesigned for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  BenefitsTextile and synthetic construction for breathable comfortHeel cage enhances support and stabilityFoam midsole with Nike Zoom Air cushioning for lightweight responsivenessDurable rubber tread delivers excellent tractionShown: White/Game RoyalStyle: AA0286-104",164.0,4.6,30.0,82.0,54.0,Great shoe,5.0,"Great product. This is my fourth time buying this shoe for my volleyball playing daughter. She plays year round and a pair will generally last her the year, through three seasons. It’s her favorite shoe and each time it’s time for something new, she goes back to this one",2021-01-11 00:00:00
505,woman,Nike Zoom HyperAce 2,https://www.nike.com/t/zoom-hyperace-2-womens-volleyball-shoe-KlrjdK/AA0286-104,Women's Volleyball Shoe,115,"Designed for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  ","COMMAND THE HARD COURTDesigned for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  BenefitsTextile and synthetic construction for breathable comfortHeel cage enhances support and stabilityFoam midsole with Nike Zoom Air cushioning for lightweight responsivenessDurable rubber tread delivers excellent tractionShown: White/Game RoyalStyle: AA0286-104",164.0,4.6,30.0,82.0,54.0,Awesome!,5.0,Exactly what I was needing. Prompt curbside pickup was efficent!,2020-12-13 00:00:00
505,woman,Nike Zoom HyperAce 2,https://www.nike.com/t/zoom-hyperace-2-womens-volleyball-shoe-KlrjdK/AA0286-104,Women's Volleyball Shoe,115,"Designed for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  ","COMMAND THE HARD COURTDesigned for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  BenefitsTextile and synthetic construction for breathable comfortHeel cage enhances support and stabilityFoam midsole with Nike Zoom Air cushioning for lightweight responsivenessDurable rubber tread delivers excellent tractionShown: White/Game RoyalStyle: AA0286-104",164.0,4.6,30.0,82.0,54.0,Thoroughly Enjoyed,4.0,"I got these shoes about a year and a half ago, and have purchased two pairs during the time. I love these shoes! They are comfy and fit just right. They do crease at the bottom after many uses. They are very durable and I 10/10 would recommend.",2020-11-28 00:00:00
505,woman,Nike Zoom HyperAce 2,https://www.nike.com/t/zoom-hyperace-2-womens-volleyball-shoe-KlrjdK/AA0286-104,Women's Volleyball Shoe,115,"Designed for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  ","COMMAND THE HARD COURTDesigned for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  BenefitsTextile and synthetic construction for breathable comfortHeel cage enhances support and stabilityFoam midsole with Nike Zoom Air cushioning for lightweight responsivenessDurable rubber tread delivers excellent tractionShown: White/Game RoyalStyle: AA0286-104",164.0,4.6,30.0,82.0,54.0,Good solid shoe,5.0,Good solid shoe. Being a volleyball player I love court shoes and use them for my gym workouts. They make my foot like wide but fit nicely.,2020-11-15 00:00:00
505,woman,Nike Zoom HyperAce 2,https://www.nike.com/t/zoom-hyperace-2-womens-volleyball-shoe-KlrjdK/AA0286-104,Women's Volleyball Shoe,115,"Designed for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  ","COMMAND THE HARD COURTDesigned for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  BenefitsTextile and synthetic construction for breathable comfortHeel cage enhances support and stabilityFoam midsole with Nike Zoom Air cushioning for lightweight responsivenessDurable rubber tread delivers excellent tractionShown: White/Game RoyalStyle: AA0286-104",164.0,4.6,30.0,82.0,54.0,Love them!,5.0,"Bought for my daughter, she loves them! comfy, stylish and colors are great!",2020-10-24 00:00:00
